Name,Identity,Birth place,Publisher,Height,Weight,Gender,First appearance,Eye color,Hair color,Strength,Intelligence
Triplicate Girl,Luornu Durgo,,DC Comics,168.97,59.83,F,,Purple,Brown,10,good
Trigon,,,DC Comics,,,M,1981,Yellow,Black,100,high
Ultragirl,Tsu-Zana,,Marvel Comics,168.27,105.9,F,,Blue,Blond,80,average
Tracy Strauss,Tracy Strauss,"Beverly Hills, CA",NBC - Heroes,,,F,,,,,
Vindicator,Heather Hudson,"Calgary, Alberta, Canada ",Marvel Comics,165.54,54.46,F,1980,Green,Red,65,good
Toxin,Eddie Brock,"San Francisco, California",Marvel Comics,191.57,117.09,M,,Black,Blond,80,good
Titan,,,HarperCollins,,,M,,,,,
Tinkerer,Phineas Mason,,Marvel Comics,163.96,54.93,M,1963,Brown,White,10,high
Tigra,Greer Grant Nelson,Presumably Chicago Illinois USA,Marvel Comics,178.04,81.12,F,,Green,Auburn,35,good
Vibe,Cisco Ramon,,DC Comics,178.77,71.32,M,,Brown,Black,10,average
Thundra,Thundra,,Marvel Comics,218.65,158.89,F,1972,Green,Red,85,moderate
Thunderstrike,Eric Kevin Masterson,,Marvel Comics,198.42,288.86,M,,Blue,Blond,80,good
Toxin,Patrick Mulligan,New York City ,Marvel Comics,188.69,97.56,M,2004,Blue,Brown,75,average
Thunderbird II,James Proudstar,,Marvel Comics,,,M,,,,,
Thunderbird,John Proudstar,"Camp Verde, Arizona ",Marvel Comics,185.12,101.49,M,1975,Brown,Black,35,average
Thor Girl,Tarene,,Marvel Comics,175.74,143.17,F,,Blue,Blond,85,good
Trickster,Giovanni Giuseppe,,DC Comics,183.54,81.37,M,1960,Blue,Blond,,
Thing,Ben Grimm,"New York City, New York",Marvel Comics,183.55,225.42,M,1961,Blue,No Hair,85,good
The Comedian,Edward Morgen Blake,,DC Comics,188.41,101.45,M,1986,Brown,Black,15,good
The Cape,Vince Faraday,,,,,M,2011,,,10,moderate
Thanos,Thanos,Titan,Marvel Comics,201.26,443.19,M,,Red,No Hair,100,high
Tiger Shark,Todd Arliss,"Pasadena, California",Marvel Comics,185.25,203.03,M,1968,Grey,No Hair,75,moderate
Thunderbird III,Neal Shaara,Bangladesh,Marvel Comics,175.86,74.28,M,,Brown,Black,,
Taskmaster,Tony Masters,,Marvel Comics,188.74,99.9,M,,Brown,Brown,15,good
Toad,Mortimer Toynbee,"York, England ",Marvel Comics,175.32,76.04,M,1964,Black,Brown,35,average
T-X,Cyberdyne Systems Series X Terminator,,Dark Horse Comics,,149.33,F,,,,65,good
T-1000,Cyberdyne Systems Series 1000 Terminator,,Dark Horse Comics,183.33,146.83,M,,,,35,good
T-800,Cyberdyne Systems Series 800 Terminator Model 101,,Dark Horse Comics,,176.28,M,1984,Red,,35,good
T-850,Cyberdyne Systems Series 850 Terminator,,Dark Horse Comics,,198.72,M,2003,Red,,80,good
Synch,Everett Thomas,,Marvel Comics,180.68,74,M,1994,Brown,Black,70,good
Swarm,Fritz von Meyer,,Marvel Comics,196.71,47.11,M,1977,Yellow,No Hair,20,good
Thor,Thor Odinson,Asgard,Marvel Comics,198.35,288.61,M,1962,Blue,Blond,100,good
Swamp Thing,Alec Holland,,DC Comics,,,M,1972,Red,No Hair,95,high
Supergirl,Kara Zor-El,"Argo City, Krypton",DC Comics,165.4,54.8,F,2004,Blue,Blond,100,high
Superboy-Prime,Kal-El,Krypton (Earth-Prime) ,DC Comics,180.55,77.41,M,1985,Blue,Black / Blue,100,high
Sylar,Gabriel Gray,,NBC - Heroes,,,M,,,,10,good
Tempest,Angel Salvadore Bohusk,,Marvel Comics,163.02,54.36,F,2001,Brown,Black,10,moderate
Stormtrooper,,,George Lucas,183.27,,M,1977,,,10,low
Sunspot,Roberto DaCosta,"Rio de Janeiro, Brazil ",Marvel Comics,173.58,77.69,M,1982,brown,black,65,good
Storm,Ororo Munroe,"New York, New York",Marvel Comics,180.72,57.5,F,1975,Blue,White,10,good
Stephanie Powell,Stephanie Powell,,ABC Studios,,,F,2010,,Blond,10,good
Superman,Clark Kent,Krypton,DC Comics,191.73,101.73,M,,Blue,Black,100,high
Stardust,,,Marvel Comics,,,M,,,,85,high
Steppenwolf,,,DC Comics,183.36,91.04,M,,Red,Black,100,high
Starfire,Koriand'r,Tamaran,DC Comics,193.77,71.78,F,1980,Green,Auburn,80,average
Superboy,Kon-El / Conner Kent,Project Cadmus cloning facility,DC Comics,170.61,68.91,M,1993,Blue,Black,95,good
Steel,John Irons,"Washington, D.C.",DC Comics,201.58,131.13,M,1993,Brown,No Hair,85,high
Stargirl,Courtney Whitmore,,DC Comics,165.81,62.94,F,1999,Blue,Blond,80,good
Static,Virgil Hawkins,"Paris Island, Dakota City",DC Comics,170.36,63.41,M,1993,Brown,Black,10,good
Star-Lord,Peter Jason Quill,,Marvel Comics,188.25,79.21,M,1976,Blue,Blond,20,good
Stacy X,,,Marvel Comics,,,F,,,,,
Spock,S'chn T'gai Spock,,Star Trek,185.69,81.1,M,,Brown,Black,20,high
Spider-Woman III,Martha Franklin,"Rochester, New York ",Marvel Comics,173.47,55.37,F,1998,Brown,Brown,50,average
Spyke,Evan Daniels,,Marvel Comics,183.01,83.37,M,2000,Brown,Blond,15,average
Spider-Man,Miles Morales,,Marvel Comics,157.37,56.06,M,2011,Brown,Black,,
Spider-Woman IV,Charlotte Witter,,Marvel Comics,178.09,58.78,F,,Red,White,,
Spider-Woman II,,,Marvel Comics,,,F,,,,,
Spider-Woman,Jessica Drew,"London, England",Marvel Comics,178.02,59.1,F,1977,Green,Black,45,average
Spider-Man,Miguel O'Hara,,Marvel Comics,178.67,77.27,,1992,Red,Brown,,
Spider-Man,Peter Parker,"New York, New York",Marvel Comics,178.28,74.25,M,,Hazel,Brown,55,high
Spider-Girl,May 'Mayday' Parker,"New York City, New York",Marvel Comics,170.98,54.75,F,1998,Blue,Brown,40,good
Spider-Gwen,Gwen Stacy,,Marvel Comics,165.79,56.59,F,,Blue,Blond,55,good
Speedball,Robert Baldwin,"Springdale, Connecticut",Marvel Comics,,,M,,,,,
Spider-Carnage,Benjamin Reilly,,Marvel Comics,,,M,,,,,
Speedy,Thea Queen,Starling City,DC Comics,,,F,,Green,Brown,10,average
Speedy,"Roy William Harper, Jr.",,DC Comics,,,M,,,,,
Spawn,Al Simmons,"Detroit, Michigan (8th level of Hell after rebirth)",Image Comics,211.5,405.59,M,1992,Brown,Black,60,good
Space Ghost,Thaddeus Bach,,DC Comics,188.86,113.78,M,1966,,,20,moderate
Spectre,Aztar,,DC Comics,,,M,1940,White,No Hair,100,high
Songbird,Melissa Joan Gold,"Shoshoni, Wyoming ",Marvel Comics,166,65.25,F,,Green,Red / White,40,good
Snowbird,Narya,"Near Resolute Bay, Northwest Territories, Canada ",Marvel Comics,178.86,49.79,F,,White,Blond,35,average
Siryn,Theresa Rourke Cassidy,"Cassidy Keep, County Mayo, Ireland ",Marvel Comics,168.85,52.64,F,,Blue,Strawberry Blond,10,moderate
Solomon Grundy,Cyrus Gold,Gotham City,DC Comics,279.22,437.61,M,1944,Black,White,95,low
Sobek,Yurrd the Unknown,Nile River; Bioengineered at Oolong Island,DC Comics,,,M,,White,No Hair,35,average
Snake-Eyes,,,Marvel Comics,,,M,,,,,
Siren,Hila,,DC Comics,175.46,72.75,F,1965,Blue,Purple,65,average
Simon Baz,Simoon Baz,"Dearborn, Michigan",DC Comics,,,M,2012,Bown,Black,90,average
Siren II,La Sirene la Bailene,Atlantis,DC Comics,,,F,1999,Black,,,
Silver Surfer,Norrin Radd,Zenn-La,Marvel Comics,193.01,101.34,M,,White,No Hair,100,average
Silk Spectre II,Laurie Juspeczyk,,DC Comics,,,F,,,,55,high
Silk Spectre,Sally Juspeczyk,,DC Comics,,,F,,,,,
Skaar,,Sakaar,Marvel Comics,198.46,180.69,M,,Green,Black,85,average
Silverclaw,Maria de Guadalupe Santiago,"The village of Kamekeri, Costa Verde ",Marvel Comics,157.8,50.22,F,1998,Brown,Black,30,average
Shrinking Violet,,,DC Comics,,,F,,,,,
Sif,Sif,,Marvel Comics,188.8,191.83,F,1964,Blue,Black,90,good
Shriek,Frances Louise Barrison,,Marvel Comics,173.95,52.83,F,,Yellow / Blue,Black,10,average
Sinestro,Thaal Sinestro,"Korugar City, Korugar",DC Comics,201.14,92.64,M,,Black,Black,85,good
Shazam,Billy Batson,"Fawcett City, United States",DC Comics,193.74,101.3,M,1940,Blue,Black,100,high
Shatterstar,Gaveedra Seven,Mojoworld,Marvel Comics,191.57,88.93,M,,Brown,Red,50,good
She-Thing,Sharon Ventura,,Marvel Comics,183.89,153.41,F,,Blue,No Hair,75,good
Shadowcat,Kitty Pryde,"Deerfield, Illinois",Marvel Comics,168.63,50.4,F,1980,Hazel,Brown,10,high
Shang-Chi,Shang-Chi,,Marvel Comics,178.38,79.29,M,1973,Brown,Black,15,good
Shadow King,Amahl Farouk,,Marvel Comics,185.48,149.19,,1979,Red,,15,good
Shadow Lass,Tasmia Mallor,Talok VIII,DC Comics,173.11,54.25,F,,Black,Black,10,good
Sebastian Shaw,Sebastian Hiram Shaw,,Marvel Comics,,,M,,,,85,good
Silk,Cindy Moon,,Marvel Comics,,,F,,Brown,Black,50,good
Shocker,Herman Schultz,,Marvel Comics,175.62,79.4,M,,Brown,Brown,10,good
Scorpia,Elaine Coll,,Marvel Comics,,,F,1995,Green,Red,30,moderate
Scorpion,MacDonald Gargan,,Marvel Comics,211.06,310.21,M,1964,Brown,Brown,55,average
Scarlet Witch,Wanda Maximoff,"Wundagore Mountain, Transia",Marvel Comics,170.18,59.69,F,1964,Blue,Brown,10,high
Scarlet Spider II,Kaine Parker,,Marvel Comics,193.21,113.66,M,1994,Brown,Brown,55,high
Scarlet Spider,Benjamin Reilly,Place of birth unknown,Marvel Comics,178.79,74.97,M,,Blue,Blond,55,good
Sentry,Robert Reynolds,,Marvel Comics,188.84,87.95,M,2000,Blue,Blond,100,good
Savage Dragon,Kurr,,Image Comics,,,M,,,,70,good
Sandman,William Baker,"Queens, New York",Marvel Comics,185.37,203.29,M,1963,Brown,Brown,75,average
Sasquatch,Walter Langkowski,"Edmonton, Alberta, Canada ",Marvel Comics,305.02,900.7,M,,Red,Orange,80,good
Sage,Tessa,Place of birth unknown,Marvel Comics,170.27,61.51,F,,Blue,Black,10,good
Scarecrow,Jonathan Crane,,DC Comics,183.09,63.95,M,1941,Blue,Brown,10,high
Sabretooth,Victor Creed,,Marvel Comics,198.44,171.74,M,1977,Amber,Blond,50,average
Ronin,Clint Barton,"Waverly, Iowa ",Marvel Comics,191.05,104.16,M,,Blue,Blond,15,average
Rorschach,Walter Joseph Kovacs,,DC Comics,168.6,63.06,M,1986,Blue,Red,10,good
Rocket Raccoon,Rocket Raccoon,,Marvel Comics,122.77,25.73,M,1976,Brown,Brown,5,average
Rogue,Anna Marie,"Caldecott County, Mississippi ",Marvel Comics,173.48,54.43,F,1981,Green,Brown / White,10,good
Robin VI,Carrie Kelley,Gotham City,DC Comics,,,F,,Green,Red,10,average
Robin V,Damian Wayne,,DC Comics,137.24,38.46,M,,Blue,Black,10,good
She-Hulk,Jennifer Walters,"Los Angeles, California",Marvel Comics,201.68,315.26,F,,Green,Green,100,high
Ripcord,Miranda Leevald,,Marvel Comics,180.86,72.57,F,,Green,Black,,
Robin III,Tim Drake,,DC Comics,165.94,56.03,M,1989,Blue,Black,15,high
Robin II,Jason Todd,,DC Comics,183.41,101.63,M,,Blue,Red,15,good
Rick Flag,Richard Rogers Flag,,DC Comics,185.78,85.91,M,1959,Blue,Brown,15,high
Rip Hunter,Richard Hunter,,DC Comics,,,M,,Blue,Blond,10,high
Rhino,Aleksei Mikhailovich Sytsevich,,Marvel Comics,196.94,320.96,M,,Brown,Brown,80,moderate
Riddler,Edward Nigma,,DC Comics,,,M,1948,,,10,high
Redeemer III,Eddie Frank,,Image Comics,,,M,,,,,
Redeemer II,Phil Timper,,Image Comics,,,M,,,,,
Red Tornado,John Smith,,DC Comics,185.95,146.22,M,,Green,No Hair,40,good
Rey,,Jakku,George Lucas,297.12,,F,2015,Hazel,Brown,10,good
Robin,Dick Grayson,,DC Comics,178.21,79.49,M,1940,Blue,Black,15,high
Red Robin,Tim Drake,Gotham City,DC Comics,165.39,56.35,M,1989,Blue,Black,15,high
Renata Soliz,,,HarperCollins,,,F,,,,,
Sauron,Sauron,,J. R. R. Tolkien,279.9,,M,,,,85,high
Red Hood,Jason Todd,,DC Comics,183.8,81.15,M,,Blue,Black,15,good
Red Hulk,Thaddeus E. Ross,,Marvel Comics,213.98,630.09,M,2008,Yellow,Black,100,average
Red Mist,Chris Genovese,,Icon Comics,,,M,,,,10,moderate
Red Arrow,Roy Harper,,DC Comics,180.49,83.58,M,2007,Green,Red,20,good
Ray,Ray Terrill,,DC Comics,178.39,70.96,M,,Green,Red,10,average
Raven,Rachel Roth,Azarath,DC Comics,165.01,50.41,F,1980,Indigo,Black,10,average
Rambo,John Rambo,"Bowie, Arizona",,178.95,83.73,M,1972,Brown,Black,15,good
Razor-Fist II,Douglas Scott,,Marvel Comics,191.11,117.57,M,1981,Blue,No Hair,,
Rachel Pirzad,,,SyFy,,,F,,,,5,good
Red Skull,Johann Shmidt,An unidentified village in Germany,Marvel Comics,188.32,108.08,M,1965,Blue,No Hair,10,good
Quill,Maxwell Jordan,,Marvel Comics,163.63,56.11,M,,Brown,Brown,10,moderate
Quantum,,,HarperCollins,,,M,,,,,
Quicksilver,Pietro Django Maximoff,"Wundagore Mountain, Transia (in Eastern Europe)",Marvel Comics,183.48,79.36,M,,Blue,Silver,30,good
Pyro,St. John Allerdyce,"Sydney, Australia ",Marvel Comics,178.72,68.48,M,,Blue,Blond,10,moderate
Q,Q,,Star Trek,,,M,,,,15,high
Question,Charles Victor Szasz,,DC Comics,188.41,83.26,M,1967,Blue,Blond,15,high
Punisher,Frank Castle,"Queens, New York",Marvel Comics,183.26,90.9,M,,Blue,Black,20,good
Ra's Al Ghul,Ra's Al Ghul,Egypt,DC Comics,193.06,97.76,M,1971,Green,Grey,30,high
Purple Man,Zebediah Killgrave,,Marvel Comics,180.3,74.13,M,1964,Purple,Purple,10,average
Psylocke,Elizabeth Braddock,"Braddock Manor, England",Marvel Comics,180.88,70.96,F,1986,Blue,Purple,35,good
Professor X,Charles Francis Xavier,"New York, New York",Marvel Comics,183.74,86.89,M,1963,Blue,No Hair,10,high
Proto-Goblin,Nels Van Adder,,Marvel Comics,,,M,1990,Green,Blond,40,good
Predator,Yautja,Yautja Prime,Dark Horse Comics,213.59,234.19,M,1987,,,30,good
Power Man,Luke Cage,,Marvel Comics,,,M,,,,,
Polaris,Lorna Dane,Presumably northern California - not confirmed,Marvel Comics,170.9,52.89,F,1968,Green,Green,75,good
Poison Ivy,Pamela Isley,"Seattle, Washington",DC Comics,168.14,50.94,F,,Green,Red,15,high
Power Girl,Kara Zor-L,,DC Comics,180.59,81.64,F,1976,blue,blond,100,high
Plastique,Bette Sans Souci,,DC Comics,168.96,55.76,F,,Blue,Red,10,average
Plastic Man,Patrick O'Brian,,DC Comics,185.71,80.28,M,1941,Blue,Black,65,average
Professor Zoom,Eobard Thawne,,DC Comics,180.79,81.8,M,1963,Blue,Strawberry Blond,10,high
Plantman,Samuel Smithers,"London, England",Marvel Comics,183.54,87.62,M,1963,Green,Grey,60,good
Phantom Stranger,Judas Iscariot,,DC Comics,188.22,83.84,M,,Black,Black,10,high
Raphael,,,IDW Publishing,,,M,,,No Hair,20,good
Phantom Girl,Tinya Wazzo,,DC Comics,168.58,54.99,F,2004,Blue,Black,10,moderate
Peter Petrelli,Peter Petrelli,,NBC - Heroes,,,M,,,,30,good
Phantom,Christopher Walker,,DC Comics,,,M,,,,50,good
Phoenix,Jean Grey,,Marvel Comics,168.89,52.07,F,1963,Green,Red,100,high
Penguin,Oswald Chesterfield Cobblepot,,DC Comics,157.89,79.13,M,1941,Blue,Black,10,good
Penance II,Robert Baldwin,"Springdale, Connecticut ",Marvel Comics,183.72,89.9,M,2007,Blue,Blond,20,average
Plastic Lad,Luke O'Brian,,DC Comics,,,M,,,,,
Penance,,,Marvel Comics,,,,,,,,
Penance I,,,Marvel Comics,,,F,,,,,
Paul Blart,Paul Blart,,Sony Pictures,170.43,117.6,M,,,,15,low
Parademon,,Apokalips,DC Comics,,,,,,,30,low
Ozymandias,Adrian Veidt,,DC Comics,,,M,,Blue,Blond,20,high
Overtkill,Nicholas Rocca,,Image Comics,,,M,,,,,
Osiris,Amon Tomaz,,DC Comics,,,M,,Brown,Brown,85,good
Oracle,Barbara Gordon,,DC Comics,178.12,59.33,F,1989,Blue,Red,15,good
Onslaught,Onslaught,,Marvel Comics,305.41,405.08,M,1996,Red,No Hair,100,high
One-Above-All,,,Marvel Comics,,,,,,,100,high
One Punch Man,Saitama,,Shueisha,175.64,69.95,M,,,No Hair,100,moderate
Omega Red,Arkady Gregorivich,,Marvel Comics,211.79,191.4,M,,Red,Blond,,
Omniscient,Omniscient is the closest English word that compares to his alien tongue.,Another Unknown World,Team Epic TV,180.22,65.3,M,,Brown,Black,,
Odin,Odin Borson,Asgard,Marvel Comics,206.15,293.35,M,,Blue,White,85,high
Nova,Richard Rider,"Queens, NY",Marvel Comics,185.25,86.37,M,1976,Brown,Brown,85,high
Nova,Frankie Raye,,Marvel Comics,163.93,59.72,F,1975,White,Red,60,good
Offspring,Luke O'Brian,,DC Comics,,,M,,,,10,average
Nite Owl II,Daniel Dreiberg,,DC Comics,,,M,,,,,
Northstar,Jean-Paul Beaubier,"Montreal, Qu�bec, Canada ",Marvel Comics,180.66,83.02,M,1979,Blue,Black,20,average
Niki Sanders,Nicole Sanders,,NBC - Heroes,,,F,,Blue,Blond,55,good
Nick Fury,Nicholas Joseph Fury,New York City,Marvel Comics,185.88,99.28,M,1963,Brown,Brown / White,15,good
Nightwing,Dick Grayson,Gotham City,DC Comics,178.31,79.07,M,,Blue,Black,15,high
Nightcrawler,Kurt Wagner,Somewhere in the Bavarian Alps,Marvel Comics,175.3,88.14,M,,Yellow,Indigo,10,average
Nebula,,,Marvel Comics,185.08,83.19,F,1985,Blue,No Hair,55,good
Negasonic Teenage Warhead,Ellie Phimister,,Marvel Comics,,,F,,Black,Black,10,average
Nina Theroux,,,SyFy,,,F,,,,5,good
Nathan Petrelli,Nathan Petrelli,,NBC - Heroes,,,M,,Brown,,,
Naruto Uzumaki,,,Shueisha,168.14,54.13,M,,,,80,average
Namorita,Namorita Prentiss,Atlantis Outskirts,Marvel Comics,168.79,101.41,F,1972,Blue,Blond,75,average
Namor,Namor McKenzie,Atlantis,Marvel Comics,188.39,125.24,M,1939,Grey,Black,95,good
Namor,,,Marvel Comics,,,M,,,,,
Mystique,Raven Darkholme,,Marvel Comics,178.65,54.96,F,,Yellow (without irises),Red / Orange,15,good
Namora,Aquaria Nautica Neptunia,Unnamed Atlantean outpost,Marvel Comics,180.85,85.53,F,1947,Blue,Blond,85,average
Mysterio,Quentin Beck,"New York, New York ",Marvel Comics,180.47,79.93,M,1964,Brown,No Hair,10,high
Multiple Man,James Arthur,"Los Alamos, New Mexico",Marvel Comics,180.92,70.18,M,,Blue,Brown,15,good
Ms Marvel II,Sharon Ventura,"Pullman, Washington",Marvel Comics,173.45,61.61,F,,Blue,Red,65,moderate
Mr Incredible,Robert Parr,,Dark Horse Comics,201.81,158.2,M,2004,Blue,Blond,85,average
Mr Immortal,Craig Hollis,,Marvel Comics,188.81,70.09,M,,Blue,Blond,10,average
Morph,Kevin Sydney,"Pittsburgh, Pennsylvania ",Marvel Comics,178.31,79.88,M,,White,No Hair,,
Moonstone,Karla Sofen,"Van Nuys, California",Marvel Comics,180.72,59.78,F,1975,Blue,Blond,70,average
Moses Magnum,Moses Magnum,,Marvel Comics,175.06,72.87,M,1975,Brown,Black,30,good
Morlun,Morlun,,Marvel Comics,188.26,79.52,M,2001,White / Red,Black,60,good
Moon Knight,Marc Spector ,"Chicago, Illinois",Marvel Comics,188.71,101.35,M,1975,Brown,Brown,40,average
Monica Dawson,Monica Dawson,,NBC - Heroes,,,F,,,,10,average
Molten Man,Mark Raxton,,Marvel Comics,196.96,248.27,M,1965,Gold,Gold,75,average
Monarch,Nathaniel Christopher Adam,,DC Comics,193.57,90.72,M,1987,Blue,White,100,high
Mogo,Mogo,,DC Comics,,,M,1985,,,,
MODOK,George Tarleton,,Marvel Comics,366.2,338.21,M,,White,Brownn,20,high
Mohinder Suresh,Mohinder Suresh,India,NBC - Heroes,,,M,,,,,
Mockingbird,Barbara Morse,"San Diego, California",Marvel Comics,175.58,61.33,F,1971,Blue,Blond,35,good
Moloch,Edgar William Jacobi,,DC Comics,,,M,,,,,
Mister Zsasz,Victor Zsasz,,DC Comics,,,M,,Blue,Blond,25,high
